Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff
2015-08-08,Chelsea,Swansea,2,2,D,83,76,7,0,0,87,41,0.6842105263157895,0,0,0,,0,0,56,-3,0.4210526315789473,0,0,0,,0,0,0,0,0,0,0,0,,,0,31,44,0.2631578947368422,,0
2015-08-08,Everton,Watford,2,2,D,78,75,3,0,0,47,-2,0.3157894736842105,0,0,0,,0,0,-1,-1,0.0,0,0,0,,0,0,0,0,0,0,0,0,,,0,48,-1,0.3157894736842105,,0
2015-08-08,Leicester,Sunderland,4,2,H,76,75,1,0,0,41,-9,0.2894736842105263,0,0,0,,0,0,38,-22,0.1842105263157894,0,0,0,,0,0,0,0,0,0,0,0,,,0,3,13,0.10526315789473692,,0
2015-08-08,Man United,Tottenham,1,0,H,81,79,2,0,0,70,25,0.5263157894736842,0,0,0,,0,0,64,5,0.5,0,0,0,,0,0,0,0,0,0,0,0,,,0,6,20,0.02631578947368418,,0
2015-08-08,Norwich,Crystal Palace,1,3,A,74,76,-2,0,0,-1,-1,0.0,0,0,0,,0,0,48,-4,0.3421052631578947,0,0,0,,0,0,0,0,0,0,0,0,,,0,-49,3,-0.3421052631578947,,0
2015-08-09,Arsenal,West Ham,0,2,A,82,77,5,0,0,75,35,0.5789473684210527,0,0,0,,0,0,47,-3,0.3157894736842105,0,0,0,,0,0,0,0,0,0,0,0,,,0,28,38,0.26315789473684215,,0
2015-08-09,Newcastle,Southampton,2,2,D,77,77,0,0,0,39,-23,0.2631578947368421,0,0,0,,0,0,60,21,0.4736842105263157,0,0,0,,0,0,0,0,0,0,0,0,,,0,-21,-44,-0.21052631578947362,,0
2015-08-09,Stoke,Liverpool,0,1,A,77,79,-2,0,0,54,3,0.3947368421052631,0,0,0,,0,0,62,4,0.4736842105263157,0,0,0,,0,0,0,0,0,0,0,0,,,0,-8,-1,-0.0789473684210526,,0
2015-08-10,West Brom,Man City,0,3,A,75,82,-7,0,0,44,-13,0.2894736842105263,0,0,0,,0,0,79,45,0.631578947368421,0,0,0,,0,0,0,0,0,0,0,0,,,0,-35,-58,-0.3421052631578947,,0
2015-08-14,Aston Villa,Man United,0,1,A,75,81,-6,0,0,38,-26,0.2631578947368421,0,0,0,,1,3,70,25,0.5263157894736842,1,0,1,1.0,0,0,0,0,0,0,0,0,,,-3,-32,-51,-0.2631578947368421,,-1
2015-08-15,Southampton,Everton,0,3,A,77,78,-1,1,1,60,21,0.4736842105263157,2,2,0,0.0,1,1,47,-2,0.3157894736842105,2,2,0,0.0,0,0,0,0,0,0,0,0,,,0,13,23,0.1578947368421052,0.0,0
2015-08-15,Sunderland,Norwich,1,3,A,75,74,1,1,0,38,-22,0.1842105263157894,2,4,-2,0.0,1,0,-1,-1,0.0,1,3,-2,0.0,0,0,0,0,0,0,0,0,,,0,39,-21,0.1842105263157894,0.0,0
2015-08-15,Swansea,Newcastle,2,0,H,76,77,-1,1,1,56,-3,0.4210526315789473,2,2,0,0.0,1,1,39,-23,0.2631578947368421,2,2,0,0.0,0,0,0,0,0,0,0,0,,,0,17,20,0.1578947368421052,0.0,0
2015-08-15,Tottenham,Stoke,2,2,D,79,77,2,1,0,64,5,0.5,0,1,-1,0.0,1,0,54,3,0.3947368421052631,0,1,-1,0.0,0,0,0,0,0,0,0,0,,,0,10,2,0.10526315789473689,0.0,0
2015-08-15,Watford,West Brom,0,0,D,75,75,0,1,1,-1,-1,0.0,2,2,0,0.0,1,0,44,-13,0.2894736842105263,0,3,-3,0.0,0,0,0,0,0,0,0,0,,,1,-45,12,-0.2894736842105263,0.0,3
2015-08-15,West Ham,Leicester,1,2,A,77,76,1,1,3,47,-3,0.3157894736842105,2,0,2,1.0,1,3,41,-9,0.2894736842105263,4,2,2,1.0,0,0,0,0,0,0,0,0,,,0,6,6,0.02631578947368418,0.0,0
2015-08-16,Crystal Palace,Arsenal,1,2,A,76,82,-6,1,3,48,-4,0.3421052631578947,3,1,2,1.0,1,0,75,35,0.5789473684210527,0,2,-2,0.0,0,0,0,0,0,0,0,0,,,3,-27,-39,-0.23684210526315796,1.0,4
2015-08-16,Man City,Chelsea,3,0,H,82,83,-1,1,3,79,45,0.631578947368421,3,0,3,1.0,1,1,87,41,0.6842105263157895,2,2,0,0.0,0,0,0,0,0,0,0,0,,,2,-8,4,-0.052631578947368474,1.0,3
2015-08-22,Crystal Palace,Aston Villa,2,1,H,76,75,1,2,3,48,-4,0.3421052631578947,4,3,1,0.5,1,0,38,-26,0.2631578947368421,0,1,-1,0.0,0,0,0,0,0,0,0,0,,,3,10,22,0.0789473684210526,0.5,2
2015-08-22,Leicester,Tottenham,1,1,D,76,79,-3,2,6,41,-9,0.2894736842105263,6,3,3,1.0,2,1,64,5,0.5,2,3,-1,0.0,0,0,0,0,0,0,0,0,,,5,-23,-14,-0.21052631578947367,1.0,4
2015-08-22,Man United,Newcastle,0,0,D,81,77,4,2,6,70,25,0.5263157894736842,2,0,2,1.0,2,1,39,-23,0.2631578947368421,2,4,-2,0.0,0,0,0,0,0,0,0,0,,,5,31,48,0.2631578947368421,1.0,4
2015-08-22,Norwich,Stoke,1,1,D,74,77,-3,2,3,-1,-1,0.0,4,4,0,0.5,2,1,54,3,0.3947368421052631,2,3,-1,0.0,0,0,0,0,0,0,0,0,,,2,-55,-4,-0.3947368421052631,0.5,1
2015-08-22,Sunderland,Swansea,1,1,D,75,76,-1,2,0,38,-22,0.1842105263157894,3,7,-4,0.0,2,4,56,-3,0.4210526315789473,4,2,2,0.5,0,0,0,0,0,0,0,0,,,-4,-18,-19,-0.23684210526315788,-0.5,-6
2015-08-23,Everton,Man City,0,2,A,78,82,-4,2,4,47,-2,0.3157894736842105,5,2,3,0.5,2,6,79,45,0.631578947368421,6,0,6,1.0,0,0,0,0,0,0,0,0,,,-2,-32,-47,-0.3157894736842105,-0.5,-3
2015-08-23,Watford,Southampton,0,0,D,75,77,-2,2,2,-1,-1,0.0,2,2,0,0.0,2,1,60,21,0.4736842105263157,2,5,-3,0.0,0,0,0,0,0,0,0,0,,,1,-61,-22,-0.4736842105263157,0.0,3
2015-08-23,West Brom,Chelsea,2,3,A,75,83,-8,2,1,44,-13,0.2894736842105263,0,3,-3,0.0,2,1,87,41,0.6842105263157895,2,5,-3,0.0,0,0,0,0,0,0,0,0,,,0,-43,-54,-0.39473684210526316,0.0,0
2015-08-24,Arsenal,Liverpool,0,0,D,82,79,3,2,3,75,35,0.5789473684210527,2,3,-1,0.5,1,3,62,4,0.4736842105263157,1,0,1,1.0,0,0,0,0,0,0,0,0,,,0,13,31,0.10526315789473695,-0.5,-2
2015-08-29,Aston Villa,Sunderland,2,2,D,75,75,0,2,0,38,-26,0.2631578947368421,1,3,-2,0.0,3,1,38,-22,0.1842105263157894,4,8,-4,0.0,0,0,0,0,0,0,0,0,,,-1,0,-4,0.07894736842105268,0.0,2
2015-08-29,Chelsea,Crystal Palace,1,2,A,83,76,7,3,4,87,41,0.6842105263157895,5,7,-2,0.3333333333333333,3,6,48,-4,0.3421052631578947,6,4,2,0.6666666666666666,0,0,0,0,0,0,0,0,,,-2,39,45,0.3421052631578948,-0.3333333333333333,-4
2015-08-29,Liverpool,West Ham,0,3,A,79,77,2,2,4,62,4,0.4736842105263157,1,0,1,0.5,2,3,47,-3,0.3157894736842105,3,2,1,0.5,0,0,0,0,0,0,0,0,,,1,15,7,0.1578947368421052,0.0,0
2015-08-29,Man City,Watford,2,0,H,82,75,7,3,9,79,45,0.631578947368421,8,0,8,1.0,3,3,-1,-1,0.0,2,2,0,0.0,0,0,0,0,0,0,0,0,,,6,80,46,0.631578947368421,1.0,8
2015-08-29,Newcastle,Arsenal,0,1,A,77,82,-5,3,2,39,-23,0.2631578947368421,2,4,-2,0.0,3,4,75,35,0.5789473684210527,2,3,-1,0.3333333333333333,0,0,0,0,0,0,0,0,,,-2,-36,-58,-0.31578947368421056,-0.3333333333333333,-1
2015-08-29,Stoke,West Brom,0,1,A,77,75,2,3,2,54,3,0.3947368421052631,3,4,-1,0.0,3,1,44,-13,0.2894736842105263,2,6,-4,0.0,0,0,0,0,0,0,0,0,,,1,10,16,0.10526315789473678,0.0,3
2015-08-29,Tottenham,Everton,0,0,D,79,78,1,3,2,64,5,0.5,3,4,-1,0.0,3,4,47,-2,0.3157894736842105,5,4,1,0.3333333333333333,0,0,0,0,0,0,0,0,,,-2,17,7,0.1842105263157895,-0.3333333333333333,-2
2015-08-30,Southampton,Norwich,3,0,H,77,74,3,3,2,60,21,0.4736842105263157,2,5,-3,0.0,3,4,-1,-1,0.0,5,5,0,0.3333333333333333,0,0,0,0,0,0,0,0,,,-2,61,22,0.4736842105263157,-0.3333333333333333,-3
2015-08-30,Swansea,Man United,2,1,H,76,81,-5,3,5,56,-3,0.4210526315789473,5,3,2,0.3333333333333333,3,7,70,25,0.5263157894736842,2,0,2,0.6666666666666666,0,0,0,0,0,0,0,0,,,-2,-14,-28,-0.10526315789473689,-0.3333333333333333,0
2015-09-12,Arsenal,Stoke,2,0,H,82,77,5,4,7,75,35,0.5789473684210527,3,3,0,0.5,4,2,54,3,0.3947368421052631,3,5,-2,0.0,0,0,0,0,0,0,0,0,,,5,21,32,0.18421052631578955,0.5,2
2015-09-12,Crystal Palace,Man City,0,1,A,76,82,-6,4,9,48,-4,0.3421052631578947,8,5,3,0.75,4,12,79,45,0.631578947368421,10,0,10,1.0,0,0,0,0,1,0,0,0,,,-3,-31,-49,-0.2894736842105263,-0.25,-7
2015-09-12,Everton,Chelsea,3,1,H,78,83,-5,4,5,47,-2,0.3157894736842105,5,4,1,0.25,4,4,87,41,0.6842105263157895,6,9,-3,0.25,0,0,0,0,0,0,0,0,,,1,-40,-43,-0.368421052631579,0.0,4
2015-09-12,Man United,Liverpool,3,1,H,81,79,2,4,7,70,25,0.5263157894736842,3,2,1,0.5,3,4,62,4,0.4736842105263157,1,3,-2,0.3333333333333333,0,0,0,0,0,0,0,0,,,3,8,21,0.052631578947368474,0.16666666666666669,3
