Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff
2019-08-09,Liverpool,Norwich,4,1,H,85,74,11,0,0,97,67,0.7894736842105263,0,0,0,,0,0,-1,-1,0.0,0,0,0,,0,0,0,0,0,0,0,0,,,0,98,68,0.7894736842105263,,0
2019-08-10,West Ham,Man City,0,5,A,78,85,-7,0,0,52,-3,0.3947368421052631,0,0,0,,0,0,98,72,0.8421052631578947,0,0,0,,0,0,0,0,0,0,0,0,,,0,-46,-75,-0.4473684210526316,,0
2019-08-10,Burnley,Southampton,3,0,H,76,76,0,0,0,40,-23,0.2894736842105263,0,0,0,,0,0,39,-20,0.2368421052631578,0,0,0,,0,0,0,0,0,0,0,0,,,0,1,-3,0.05263157894736853,,0
2019-08-10,Crystal Palace,Everton,0,0,D,77,78,-1,0,0,49,-2,0.3684210526315789,0,0,0,,0,0,54,8,0.3947368421052631,0,0,0,,0,0,0,0,0,0,0,0,,,0,-5,-10,-0.02631578947368418,,0
2019-08-10,Watford,Brighton,0,3,A,77,76,1,0,0,50,-7,0.3684210526315789,0,0,0,,0,0,36,-25,0.2368421052631578,0,0,0,,0,0,0,0,0,0,0,0,,,0,14,18,0.13157894736842113,,0
2019-08-10,Tottenham,Aston Villa,3,1,H,82,76,6,0,0,71,28,0.6052631578947368,0,0,0,,0,0,-1,-1,0.0,0,0,0,,0,0,0,0,0,0,0,0,,,0,72,29,0.6052631578947368,,0
2019-08-11,Leicester,Wolves,0,0,D,79,78,1,0,0,52,3,0.3947368421052631,0,0,0,,0,0,57,1,0.4210526315789473,0,0,0,,0,0,0,0,0,0,0,0,,,0,-5,2,-0.02631578947368418,,0
2019-08-11,Newcastle,Arsenal,0,1,A,77,80,-3,0,0,45,-6,0.3157894736842105,0,0,0,,0,0,70,22,0.5526315789473685,0,0,0,,0,0,0,0,0,0,0,0,,,0,-25,-28,-0.23684210526315796,,0
2019-08-11,Man United,Chelsea,4,0,H,81,81,0,0,0,66,11,0.5,0,0,0,,0,0,72,24,0.5526315789473685,0,0,0,,0,0,0,0,0,0,0,0,,,0,-6,-13,-0.052631578947368474,,0
2019-08-17,Arsenal,Burnley,2,1,H,80,76,4,1,3,70,22,0.5526315789473685,1,0,1,1.0,1,3,40,-23,0.2894736842105263,3,0,3,1.0,0,0,0,0,0,0,0,0,,,0,30,45,0.26315789473684215,0.0,-2
