Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff
2021-08-22,Wolves,Tottenham,0.0,1.0,A,78,81,-3,1.0,0.0,45.0,-16.0,0.3157894736842105,0.0,1.0,-1.0,0.0,1.0,3.0,62.0,23.0,0.4736842105263157,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-3.0,-17.0,-39.0,-0.1578947368421052,-1.0,-2.0
2021-08-22,Southampton,Man United,1.0,1.0,D,76,83,-7,1.0,0.0,43.0,-21.0,0.3157894736842105,1.0,3.0,-2.0,0.0,1.0,3.0,74.0,29.0,0.5526315789473685,5.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-3.0,-31.0,-50.0,-0.23684210526315796,-1.0,-6.0
2021-08-22,Arsenal,Chelsea,0.0,2.0,A,80,84,-4,1.0,0.0,61.0,16.0,0.4736842105263157,0.0,2.0,-2.0,0.0,1.0,3.0,67.0,22.0,0.5,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-3.0,-6.0,-6.0,-0.026315789473684292,-1.0,-5.0
2021-08-23,West Ham,Leicester,4.0,1.0,H,79,80,-1,1.0,3.0,65.0,15.0,0.5,4.0,2.0,2.0,1.0,1.0,3.0,66.0,18.0,0.5263157894736842,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,-3.0,-0.02631578947368418,0.0,1.0
2021-08-28,Man City,Arsenal,5.0,0.0,H,85,80,5,2.0,3.0,86.0,51.0,0.7105263157894737,5.0,1.0,4.0,0.5,2.0,0.0,61.0,16.0,0.4736842105263157,0.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,25.0,35.0,0.23684210526315796,0.5,8.0
2021-08-28,West Ham,Crystal Palace,2.0,2.0,D,79,76,3,2.0,6.0,65.0,15.0,0.5,8.0,3.0,5.0,1.0,2.0,1.0,44.0,-25.0,0.3157894736842105,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,21.0,40.0,0.1842105263157895,1.0,8.0
2021-08-28,Norwich City,Leicester,1.0,2.0,A,73,80,-7,2.0,0.0,-1.0,-1.0,0.0,0.0,8.0,-8.0,0.0,2.0,3.0,66.0,18.0,0.5263157894736842,2.0,4.0,-2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-3.0,-67.0,-19.0,-0.5263157894736842,-0.5,-6.0
2021-08-28,Newcastle,Southampton,2.0,2.0,D,77,76,1,2.0,0.0,45.0,-16.0,0.3157894736842105,2.0,6.0,-4.0,0.0,2.0,1.0,43.0,-21.0,0.3157894736842105,2.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.0,2.0,5.0,0.0,0.0,-2.0
2021-08-28,Brighton,Everton,0.0,2.0,A,76,78,-2,2.0,6.0,41.0,-6.0,0.2368421052631578,4.0,1.0,3.0,1.0,2.0,4.0,59.0,-1.0,0.4473684210526316,5.0,3.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,-18.0,-5.0,-0.21052631578947378,0.5,1.0
2021-08-28,Aston Villa,Brentford,1.0,1.0,D,78,74,4,2.0,3.0,55.0,9.0,0.4210526315789473,4.0,3.0,1.0,0.5,2.0,4.0,-1.0,-1.0,0.0,2.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-1.0,56.0,10.0,0.4210526315789473,0.0,-1.0
