Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff
2021-11-06,Brighton,Newcastle,,,,76,77,-1
2021-11-06,Brentford,Norwich City,,,,74,73,1
2021-11-06,Arsenal,Watford,,,,80,74,6
2021-11-20,Wolves,West Ham,,,,78,79,-1
2021-11-20,Watford,Man United,,,,74,83,-9
2021-11-20,Tottenham,Leeds,,,,81,76,5
2021-11-20,Norwich City,Southampton,,,,73,76,-3
2021-11-20,Newcastle,Brentford,,,,77,74,3
2021-11-20,Man City,Everton,,,,85,78,7
2021-11-20,Liverpool,Arsenal,,,,85,80,5
2021-11-20,Leicester,Chelsea,,,,80,84,-4
2021-11-20,Burnley,Crystal Palace,,,,76,76,0
2021-11-20,Aston Villa,Brighton,,,,78,76,2
2021-11-27,Norwich City,Wolves,,,,73,78,-5
2021-11-27,Man City,West Ham,,,,85,79,6
2021-11-27,Liverpool,Southampton,,,,85,76,9
2021-11-27,Leicester,Watford,,,,80,74,6
2021-11-27,Crystal Palace,Aston Villa,,,,76,78,-2
2021-11-27,Chelsea,Man United,,,,84,83,1
2021-11-27,Burnley,Tottenham,,,,76,81,-5
2021-11-27,Brighton,Leeds,,,,76,76,0
2021-11-27,Brentford,Everton,,,,74,78,-4
2021-11-27,Arsenal,Newcastle,,,,80,77,3
2021-11-30,Wolves,Burnley,,,,78,76,2
2021-11-30,West Ham,Brighton,,,,79,76,3
2021-11-30,Watford,Chelsea,,,,74,84,-10
2021-11-30,Leeds,Crystal Palace,,,,76,76,0
2021-11-30,Everton,Liverpool,,,,78,85,-7
2021-11-30,Aston Villa,Man City,,,,78,85,-7
2021-11-30,Man United,Arsenal,,,,83,80,3
2021-12-01,Tottenham,Brentford,,,,81,74,7
2021-12-01,Southampton,Leicester,,,,76,80,-4
2021-12-01,Newcastle,Norwich City,,,,77,73,4
2021-12-04,Wolves,Liverpool,,,,78,85,-7
2021-12-04,West Ham,Chelsea,,,,79,84,-5
2021-12-04,Watford,Man City,,,,74,85,-11
2021-12-04,Tottenham,Norwich City,,,,81,73,8
2021-12-04,Southampton,Brighton,,,,76,76,0
2021-12-04,Newcastle,Burnley,,,,77,76,1
2021-12-04,Man United,Crystal Palace,,,,83,76,7
2021-12-04,Leeds,Brentford,,,,76,74,2
2021-12-04,Everton,Arsenal,,,,78,80,-2
2021-12-04,Aston Villa,Leicester,,,,78,80,-2
2021-12-11,Norwich City,Man United,,,,73,83,-10
2021-12-11,Man City,Wolves,,,,85,78,7
2021-12-11,Liverpool,Aston Villa,,,,85,78,7
2021-12-11,Leicester,Newcastle,,,,80,77,3
2021-12-11,Crystal Palace,Everton,,,,76,78,-2
2021-12-11,Chelsea,Leeds,,,,84,76,8
2021-12-11,Burnley,West Ham,,,,76,79,-3
2021-12-11,Brighton,Tottenham,,,,76,81,-5
2021-12-11,Brentford,Watford,,,,74,74,0
2021-12-11,Arsenal,Southampton,,,,80,76,4
2021-12-14,Norwich City,Aston Villa,,,,73,78,-5
2021-12-14,Leicester,Tottenham,,,,80,81,-1
2021-12-14,Burnley,Watford,,,,76,74,2
2021-12-14,Brighton,Wolves,,,,76,78,-2
2021-12-14,Brentford,Man United,,,,74,83,-9
2021-12-14,Arsenal,West Ham,,,,80,79,1
2021-12-14,Crystal Palace,Southampton,,,,76,76,0
2021-12-15,Man City,Leeds,,,,85,76,9
2021-12-15,Liverpool,Newcastle,,,,85,77,8
2021-12-15,Chelsea,Everton,,,,84,78,6
2021-12-18,Wolves,Chelsea,,,,78,84,-6
2021-12-18,West Ham,Norwich City,,,,79,73,6
2021-12-18,Watford,Crystal Palace,,,,74,76,-2
2021-12-18,Tottenham,Liverpool,,,,81,85,-4
2021-12-18,Southampton,Brentford,,,,76,74,2
2021-12-18,Newcastle,Man City,,,,77,85,-8
2021-12-18,Man United,Brighton,,,,83,76,7
2021-12-18,Leeds,Arsenal,,,,76,80,-4
2021-12-18,Everton,Leicester,,,,78,80,-2
2021-12-18,Aston Villa,Burnley,,,,78,76,2
